               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.036388,           0.0094333,           0.0035127,             0.11837,              0.5303,             0.27833,             0.11248,            0.032776,           0.0061104,            0.024487,           0.0076042,           0.0076042,           0.0076042
                 123,            0.038616,            0.011281,            0.004617,             0.18493,              0.5227,             0.35919,             0.18357,            0.027611,           0.0062768,            0.024304,           0.0075844,           0.0075844,           0.0075844
                 124,            0.043554,            0.011811,           0.0059969,             0.30034,             0.69697,             0.42108,             0.23228,            0.024503,           0.0062068,            0.019922,           0.0075646,           0.0075646,           0.0075646
                 125,             0.03496,            0.014056,           0.0028748,             0.24156,             0.69697,             0.39394,             0.21758,            0.026453,           0.0065515,            0.020496,           0.0075448,           0.0075448,           0.0075448
                 126,            0.034295,            0.012464,           0.0038177,             0.18402,              0.5303,             0.29168,              0.1207,            0.033475,           0.0062542,             0.02251,            0.007525,            0.007525,            0.007525
                 127,            0.037873,            0.010523,           0.0044557,             0.21401,             0.57576,             0.35835,             0.18647,            0.027629,           0.0059783,            0.023798,           0.0075052,           0.0075052,           0.0075052
                 128,            0.034611,            0.012137,           0.0044477,             0.20633,              0.5303,             0.37235,              0.1501,            0.032318,           0.0063004,            0.020868,           0.0074854,           0.0074854,           0.0074854
                 129,            0.040623,            0.012051,            0.004319,             0.29733,             0.47688,             0.34345,             0.20554,            0.024067,           0.0059848,            0.021588,           0.0074656,           0.0074656,           0.0074656
                 130,             0.03311,           0.0093648,           0.0070277,             0.30662,             0.65152,             0.43057,             0.22571,            0.025066,           0.0062356,            0.021338,           0.0074458,           0.0074458,           0.0074458
                 131,            0.031116,             0.01125,           0.0044742,             0.22324,             0.69697,             0.33894,             0.16651,            0.027589,           0.0071623,            0.020581,            0.007426,            0.007426,            0.007426
                 132,            0.037182,           0.0091043,           0.0035193,             0.31496,             0.39394,             0.38709,              0.1778,            0.031443,           0.0067446,            0.021701,           0.0074062,           0.0074062,           0.0074062
                 133,            0.039984,            0.010869,           0.0035531,             0.24303,             0.65152,              0.3474,             0.19297,            0.024556,           0.0066473,            0.022806,           0.0073864,           0.0073864,           0.0073864
                 134,            0.031129,            0.010111,            0.004049,             0.38415,             0.65152,             0.45241,             0.22187,            0.028743,           0.0069699,            0.025714,           0.0073666,           0.0073666,           0.0073666
                 135,             0.03771,            0.012633,           0.0035701,             0.49907,             0.43939,             0.42866,             0.25942,            0.024607,           0.0072832,            0.026605,           0.0073468,           0.0073468,           0.0073468
                 136,             0.03753,            0.010498,           0.0035825,             0.56201,             0.43939,             0.49797,             0.21068,            0.029953,           0.0074494,            0.028558,            0.007327,            0.007327,            0.007327
                 137,            0.036502,            0.010993,           0.0044349,             0.71448,             0.56061,             0.61841,             0.41865,            0.024634,           0.0067177,             0.02381,           0.0073072,           0.0073072,           0.0073072
                 138,            0.031378,            0.011577,           0.0029421,             0.84818,             0.56061,             0.68365,              0.3717,             0.02752,           0.0066297,            0.020428,           0.0072874,           0.0072874,           0.0072874
                 139,            0.034319,           0.0097337,           0.0027312,             0.83846,             0.72727,             0.75704,             0.54513,            0.024131,           0.0065184,            0.018047,           0.0072676,           0.0072676,           0.0072676
                 140,            0.035945,            0.011409,           0.0022011,             0.89503,             0.74015,             0.81728,             0.44413,            0.027546,           0.0062499,            0.018524,           0.0072478,           0.0072478,           0.0072478
                 141,            0.035725,           0.0095903,           0.0020209,             0.59378,             0.72727,             0.64398,             0.31372,            0.028997,           0.0061655,            0.025262,            0.007228,            0.007228,            0.007228
                 142,            0.031915,           0.0096536,           0.0026489,             0.50088,             0.68724,             0.62127,             0.30151,            0.027812,           0.0060384,            0.023956,           0.0072082,           0.0072082,           0.0072082
                 143,            0.039782,           0.0099727,           0.0043471,             0.78259,             0.69289,             0.79821,             0.44022,             0.02334,           0.0058436,            0.024646,           0.0071884,           0.0071884,           0.0071884
                 144,             0.02946,            0.010944,           0.0028512,             0.60235,             0.70002,             0.66261,             0.38805,            0.021887,           0.0059507,            0.026843,           0.0071686,           0.0071686,           0.0071686
                 145,            0.033075,           0.0099257,            0.002672,             0.72534,              0.4697,             0.72612,             0.42966,            0.022803,           0.0063596,            0.026776,           0.0071488,           0.0071488,           0.0071488
                 146,            0.034027,           0.0098017,           0.0049898,             0.72941,             0.68182,             0.76553,             0.46606,            0.022966,           0.0059242,            0.020276,            0.007129,            0.007129,            0.007129
                 147,             0.03117,           0.0099425,           0.0025342,             0.44695,             0.60606,             0.51774,             0.32016,            0.022046,           0.0055585,            0.021869,           0.0071092,           0.0071092,           0.0071092
                 148,            0.029691,            0.010824,           0.0026913,             0.58705,             0.43939,             0.48155,             0.25126,            0.027436,           0.0055604,            0.026599,           0.0070894,           0.0070894,           0.0070894
                 149,            0.039424,           0.0081987,           0.0015215,             0.78492,             0.43939,             0.58979,             0.36273,            0.023794,           0.0052676,            0.028082,           0.0070696,           0.0070696,           0.0070696
                 150,            0.033233,            0.010824,           0.0026021,             0.79083,             0.43939,              0.5636,             0.37276,            0.023066,           0.0051966,            0.028619,           0.0070498,           0.0070498,           0.0070498
                 151,            0.034148,           0.0091471,           0.0023844,             0.80598,             0.43939,             0.59678,             0.36729,            0.026472,           0.0049043,            0.027905,             0.00703,             0.00703,             0.00703
                 152,            0.034202,            0.010945,           0.0022526,             0.68008,             0.43939,             0.59857,             0.37142,            0.024248,           0.0048027,            0.028381,           0.0070102,           0.0070102,           0.0070102
                 153,            0.038014,           0.0091193,           0.0020897,             0.76541,             0.43939,             0.61585,              0.3597,            0.025538,           0.0050912,             0.03103,           0.0069904,           0.0069904,           0.0069904
